image,alpha,label,pred,correct,path_length,distractor_ratio,decoy_arrow_count,start_end_manhattan,num_turns,path_bbox_area,path_coverage,long_dependency_score
test/000000.png,0.2936696708202362,5,6,0,24,0.25,21,10,11,60,0.12755102040816327,0.2381475667189953
test/000001.png,0.302754670381546,2,2,1,40,0.4,20,18,26,99,0.20918367346938777,0.41127681841967556
test/000002.png,0.37028297781944275,1,1,1,40,0.25,19,12,28,112,0.20918367346938777,0.3553113553113553
test/000003.png,0.27757129073143005,3,3,1,24,0.25,20,8,17,49,0.12755102040816327,0.20384615384615384
test/000004.png,0.29358384013175964,0,0,1,32,0.4,26,8,24,81,0.1683673469387755,0.25701203558346414
test/000005.png,0.3194502592086792,7,7,1,48,0.25,19,6,28,108,0.25,0.30251177394034534
test/000006.png,0.2850610017776489,6,6,1,48,0.4,23,10,32,98,0.25,0.3384615384615385
test/000007.png,0.29132261872291565,5,5,1,24,0.25,24,10,16,40,0.12755102040816327,0.2177394034536892
test/000008.png,0.3025057315826416,2,2,1,32,0.25,21,2,20,48,0.1683673469387755,0.1541077969649398
test/000009.png,0.25459516048431396,6,6,1,32,0.4,24,12,19,98,0.1683673469387755,0.3205128205128205
test/000010.png,0.28941765427589417,3,3,1,24,0.25,25,8,15,60,0.12755102040816327,0.21507064364207223
test/000011.png,0.27607637643814087,0,6,0,24,0.25,25,14,14,99,0.12755102040816327,0.32409733124018836
test/000012.png,0.31115075945854187,5,5,1,40,0.4,22,12,31,72,0.20918367346938777,0.3144950287807431
test/000013.png,0.42318442463874817,1,1,1,24,0.25,19,6,11,63,0.12755102040816327,0.19505494505494508
test/000014.png,0.24615497887134552,3,3,1,48,0.25,24,6,25,126,0.25,0.3208791208791209
test/000015.png,0.31742388010025024,3,3,1,32,0.25,26,12,25,84,0.1683673469387755,0.30622710622710625
test/000016.png,0.4063419997692108,1,1,1,40,0.25,25,8,28,60,0.20918367346938777,0.2560962846677132
test/000017.png,0.3121058940887451,2,2,1,32,0.25,18,4,23,63,0.1683673469387755,0.19249084249084247
test/000018.png,0.2936103641986847,0,0,1,48,0.4,24,14,31,112,0.25,0.39890109890109887
test/000019.png,0.3725050985813141,4,1,0,32,0.25,16,12,19,120,0.1683673469387755,0.34296180010465727
test/000020.png,0.3062693476676941,1,5,0,48,0.4,24,10,28,154,0.25,0.39560439560439564
test/000021.png,0.355811208486557,7,7,1,24,0.25,25,12,14,48,0.12755102040816327,0.2489795918367347
test/000022.png,0.2868512272834778,4,4,1,32,0.4,24,8,20,72,0.1683673469387755,0.24782836211407638
test/000023.png,0.2483254373073578,0,0,1,32,0.4,28,16,20,100,0.1683673469387755,0.3687074829931973
test/000024.png,0.39321210980415344,1,1,1,40,0.4,20,4,23,81,0.20918367346938777,0.23137100994243853
test/000025.png,0.32925722002983093,2,2,1,40,0.25,25,6,29,70,0.20918367346938777,0.24322344322344325
test/000026.png,0.29319021105766296,0,0,1,32,0.25,20,10,20,81,0.1683673469387755,0.28008895866038724
test/000027.png,0.34310510754585266,7,7,1,40,0.4,23,14,26,156,0.20918367346938777,0.42328623757195183
test/000028.png,0.31098663806915283,6,6,1,40,0.25,26,10,25,98,0.20918367346938777,0.31794871794871793
test/000029.png,0.3207457661628723,0,0,1,32,0.25,20,4,17,60,0.1683673469387755,0.18942961800104657
test/000030.png,0.2899722754955292,4,4,1,48,0.4,19,10,29,88,0.25,0.3282574568288854
test/000031.png,0.3168250620365143,2,2,1,24,0.25,25,10,16,54,0.12755102040816327,0.23202511773940346
test/000032.png,0.3146011233329773,7,7,1,24,0.4,24,10,16,77,0.12755102040816327,0.2554945054945055
test/000033.png,0.31103435158729553,4,4,1,40,0.25,23,4,28,63,0.20918367346938777,0.21300366300366302
test/000034.png,0.32551467418670654,2,2,1,40,0.4,24,14,24,126,0.20918367346938777,0.3926739926739926
test/000035.png,0.2987666130065918,5,5,1,24,0.25,26,12,12,63,0.12755102040816327,0.2642857142857143
test/000036.png,0.34084945917129517,5,5,1,48,0.25,18,14,24,168,0.25,0.45604395604395603
