epoch,loss,mean_gap,acc,train_time_sec,eval_time_sec,text_time_sec,inference_time_sec,inference_samples_per_sec,inference_ms_per_sample,eval_samples_per_sec
1,3.078632265329361,-0.008363582659512758,0.203,6.9101721830666065,10.947241112589836,0.00354597344994545,10.943091694265604,456.9092665667874,2.1886183388531206,456.7360806778767
2,2.0821976363658905,0.0016518283635377883,0.3876,3.87124509178102,10.930760802701116,0.003498326987028122,10.92665516026318,457.59657705529435,2.1853310320526362,457.42470174303355
3,1.4803418964147568,0.012247815541923047,0.6334,3.8756047431379557,10.929408652707934,0.0035098250955343246,10.925281373783946,457.6541169912461,2.185056274756789,457.48129280179955
4,1.1765172481536865,0.02161576822400093,0.7798,3.864004785194993,10.969872882589698,0.003504496067762375,10.965738398954272,455.96564664325894,2.1931476797908545,455.7937957453917
5,0.9707106351852417,0.030969510599970818,0.8528,3.8809970766305923,10.980975788086653,0.003537280485033989,10.976825078949332,455.50511774016394,2.1953650157898665,455.33294094178217
6,0.9021528288722038,0.039703907817602156,0.888,3.893136380240321,10.949764542281628,0.003411136567592621,10.945719940587878,456.799555181334,2.189143988117576,456.6308234933186
7,0.7541507482528687,0.047392378374934194,0.9052,3.8492662217468023,10.970738049596548,0.00356169231235981,10.966562850400805,455.9313677591571,2.193312570080161,455.757851239906
8,0.7410782650113106,0.05401330217719078,0.9156,3.8798029609024525,10.964603694155812,0.0035622846335172653,10.96042794175446,456.1865674014585,2.192085588350892,456.0128336115809
9,0.6926511004567146,0.05961388945579529,0.922,3.8937254920601845,11.042608151212335,0.003514595329761505,11.038477586582303,452.9610139425108,2.2076955173164605,452.791580714658
10,0.6856378018856049,0.06430595256388187,0.9286,3.8691720962524414,11.060439774766564,0.003403475508093834,11.056405302137136,452.22654772193727,2.211281060427427,452.0615908426234
11,0.6827317476272583,0.06790713705122471,0.934,3.8738534655421972,11.029624413698912,0.0035250764340162277,11.025523208081722,453.4932180211633,2.2051046416163445,453.32459315567866
12,0.6092486530542374,0.07074901312589646,0.938,3.8758444786071777,11.004812365397811,0.0035412758588790894,11.000643199309707,454.51887761560624,2.2001286398619415,454.3466834310951
13,0.5609230399131775,0.07329187281429768,0.9404,3.908190244808793,11.04462960921228,0.0035030972212553024,11.040499351918697,452.87806652794774,2.2080998703837396,452.708707934354
14,0.5487671121954918,0.07576868943870067,0.9442,3.8797108232975006,11.000775730237365,0.003563709557056427,10.996586106717587,454.6865683110146,2.1993172213435175,454.5134018373552
15,0.5102730542421341,0.077914734557271,0.9454,3.8926190119236708,10.994060831144452,0.0036004427820444107,10.989820709452033,454.9664759953401,2.197964141890407,454.7910073260449
16,0.5142269358038902,0.07953687459230423,0.9454,3.87703213468194,11.084441713988781,0.003512248396873474,11.080313302576542,451.25077815600514,2.216062660515308,451.08270935196515
17,0.476563710719347,0.0808729313313961,0.9458,3.902862587943673,11.055495746433735,0.003558466210961342,11.051312876865268,452.4349329089181,2.2102625753730534,452.2637532209166
18,0.5128507986664772,0.08201864510774612,0.9472,3.8879822678864002,11.00997581705451,0.0035398248583078384,11.005813773721457,454.3053428669203,2.201162754744291,454.13360420419576
19,0.4664312154054642,0.08284902013838291,0.9478,3.892660066485405,11.034733276814222,0.0035530347377061844,11.03056219406426,453.2860530617912,2.206112438812852,453.11471284093625
20,0.462781123816967,0.08343463391065598,0.9484,3.9020237773656845,11.044039590284228,0.0034767519682645798,11.039934065192938,452.90125561203865,2.2079868130385876,452.7328935327839
21,0.4455362930893898,0.08396330326795579,0.95,3.899077320471406,11.062512047588825,0.0034373588860034943,11.058442678302526,452.14323078333314,2.2116885356605054,451.9769089055858
22,0.46271778643131256,0.08447404056787491,0.9508,3.893970400094986,11.045747438445687,0.0034436192363500595,11.04168794117868,452.82931619114925,2.208337588235736,452.66289382980676
23,0.4282602183520794,0.08476092405617237,0.9502,3.9109992515295744,11.115318424999714,0.0035415925085544586,11.111161077395082,449.9979763745994,2.2222322154790164,449.8296682850207
24,0.4511476270854473,0.08475893884897232,0.9496,3.910348167642951,11.031029243022203,0.003531254827976227,11.026852563023567,453.43854662268177,2.2053705126047136,453.26686112837604
25,0.43520911782979965,0.084846618399024,0.9514,3.875572107732296,11.06567239202559,0.0035614557564258575,11.061518492177129,452.0175058728216,2.212303698435426,451.8478247741384
26,0.4050794951617718,0.08502635732293129,0.9522,3.8963944017887115,11.066745031625032,0.003537658601999283,11.062593566253781,451.97357835258447,2.2125187132507564,451.8040296140991
27,0.4086259938776493,0.085229030251503,0.9526,3.8911283519119024,11.047366201877594,0.003534117713570595,11.043213684111834,452.76675277900614,2.208642736822367,452.5965654284374
28,0.43242787569761276,0.08543517664074898,0.9532,3.8957995511591434,11.01781840622425,0.0034572910517454147,11.013745358213782,453.9781733986724,2.2027490716427565,453.8103475344421
29,0.3939528688788414,0.08530241921544075,0.9536,3.884267132729292,11.129510436207056,0.003541490063071251,11.125346545130014,449.4242026275298,2.225069309026003,449.25605925430114
30,0.38511401414871216,0.08526585772633552,0.954,3.9057022258639336,11.053985545411706,0.0035415440797805786,11.04979870095849,452.49693096818913,2.209959740191698,452.32554172059713
