experiment_dir,dataset,encoder,method,train_per_class,epochs_config,epoch_result,acc,mean_gap,split,keep_recommendation,result_path,args_path,log_path
ablation_oxfordpets_class50/no_adapter_full_ft,oxfordpets,vim,vim adapter,50,30,19,0.929700272479564,0.0731589222276533,test,index_only,ablation_oxfordpets_class50/no_adapter_full_ft/args/vim_oxfordpets_final_test_result.json,ablation_oxfordpets_class50/no_adapter_full_ft/args/vim_oxfordpets_args.json,ablation_oxfordpets_class50/no_adapter_full_ft/log/vim_oxfordpets_train_log.csv
baseline_vim_b16_ft_caltech/dim128/class25,caltech101,vim,vim fine-tuning baseline,25,30,30,0.9375722543352601,0.08383323178432955,test,index_only,baseline_vim_b16_ft_caltech/dim128/class25/args/vim_caltech101_final_test_result.json,baseline_vim_b16_ft_caltech/dim128/class25/args/vim_caltech101_args.json,baseline_vim_b16_ft_caltech/dim128/class25/log/vim_caltech101_train_log.csv
baseline_vim_b16_ft_caltech/dim96/class25,caltech101,vim,vim fine-tuning baseline,25,30,25,0.9375722543352601,0.08089300702408989,test,index_only,baseline_vim_b16_ft_caltech/dim96/class25/args/vim_caltech101_final_test_result.json,baseline_vim_b16_ft_caltech/dim96/class25/args/vim_caltech101_args.json,baseline_vim_b16_ft_caltech/dim96/class25/log/vim_caltech101_train_log.csv
baseline_vim_b16_ft_cifar_dim128/A0,cifar10,vim,vim fine-tuning baseline,50,20,13,0.9374,0.10253209173679352,test,index_only,baseline_vim_b16_ft_cifar_dim128/A0/args/vim_cifar10_final_test_result.json,baseline_vim_b16_ft_cifar_dim128/A0/args/vim_cifar10_args.json,baseline_vim_b16_ft_cifar_dim128/A0/log/vim_cifar10_train_log.csv
baseline_vim_b16_ft_cifar_dim128/A1_rrc_flip,cifar10,vim,vim fine-tuning baseline,50,20,15,0.9414,0.10879793986678124,test,index_only,baseline_vim_b16_ft_cifar_dim128/A1_rrc_flip/args/vim_cifar10_final_test_result.json,baseline_vim_b16_ft_cifar_dim128/A1_rrc_flip/args/vim_cifar10_args.json,baseline_vim_b16_ft_cifar_dim128/A1_rrc_flip/log/vim_cifar10_train_log.csv
baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter,cifar10,vim,vim fine-tuning baseline,50,20,17,0.9436,0.11207219213247299,test,index_only,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter/args/vim_cifar10_final_test_result.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter/args/vim_cifar10_args.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter/log/vim_cifar10_train_log.csv
baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_label_smoothing005,cifar10,vim,vim fine-tuning baseline,50,20,18,0.9442,0.08824165090918541,test,index_only,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_label_smoothing005/args/vim_cifar10_final_test_result.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_label_smoothing005/args/vim_cifar10_args.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_label_smoothing005/log/vim_cifar10_train_log.csv
baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema090,cifar10,vim,vim fine-tuning baseline,50,20,19,0.9448,0.08841251432895661,test,index_only,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema090/args/vim_cifar10_final_test_result.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema090/args/vim_cifar10_args.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema090/log/vim_cifar10_train_log.csv
baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema095,cifar10,vim,vim fine-tuning baseline,50,20,19,0.945,0.08784266412258149,test,index_only,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema095/args/vim_cifar10_final_test_result.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema095/args/vim_cifar10_args.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema095/log/vim_cifar10_train_log.csv
baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema0995,cifar10,vim,vim fine-tuning baseline,50,20,20,0.8958,0.04395722430199385,test,index_only,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema0995/args/vim_cifar10_final_test_result.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema0995/args/vim_cifar10_args.json,baseline_vim_b16_ft_cifar_dim128/A2_rrc_flip_jitter_ls005_ema0995/log/vim_cifar10_train_log.csv
